ID	Rack	Pos	PopID	Mom	Indiv	Origin	Treat
RO004.13.b	16	4	RO004	13	b	nat	cut
RO004.13.c	25	2	RO004	13	c	nat	control
RO004.13.d	10	30	RO004	13	d	nat	cut
RO004.13.e	9	9	RO004	13	e	nat	control
RO004.13.f	4	40	RO004	13	f	nat	cut
RO004.13.g	29	45	RO004	13	g	nat	control
RO004.13.h	33	33	RO004	13	h	nat	cut
RO004.13.i	30	28	RO004	13	i	nat	control
RO004.13.j	44	46	RO004	13	j	nat	control
RO004.13.m	24	46	RO004	13	m	nat	control
RO004.20.a	31	26	RO004	20	a	nat	allo
RO004.20.b	22	35	RO004	20	b	nat	allo
RO004.20.c	43	3	RO004	20	c	nat	flood
RO004.20.d	11	30	RO004	20	d	nat	cut
RO004.20.e	48	34	RO004	20	e	nat	drought
RO004.20.f	40	1	RO004	20	f	nat	control
RO004.20.g	18	9	RO004	20	g	nat	control
RO004.20.i	47	10	RO004	20	i	nat	nut def
RO004.20.j	46	10	RO004	20	j	nat	drought
RO004.21.a	2	17	RO004	21	a	nat	nut def
RO004.21.b	37	1	RO004	21	b	nat	drought
RO004.21.c	34	49	RO004	21	c	nat	control
RO004.21.d	32	38	RO004	21	d	nat	allo
RO004.21.e	38	31	RO004	21	e	nat	cut
RO004.21.f	3	45	RO004	21	f	nat	flood
RO004.21.g	35	12	RO004	21	g	nat	flood
RO004.21.h	20	7	RO004	21	h	nat	nut def
RO004.21.i	6	16	RO004	21	i	nat	control
RO004.21.j	27	10	RO004	21	j	nat	nut def
RO004.3.a	49	36	RO004	3	a	nat	nut def
RO004.3.b	17	6	RO004	3	b	nat	drought
RO004.3.c	19	9	RO004	3	c	nat	drought
RO004.3.d	23	4	RO004	3	d	nat	flood
RO004.3.e	7	42	RO004	3	e	nat	control
RO004.3.f	15	34	RO004	3	f	nat	allo
