ID	LfCount2	MaxLfLgth2	MaxLfWdth2	LfYellow	BoltHtm2
BG001.17.b	17	16.8	4.6	y	
GR002.25.a	12	18	4.2	y	
HU001.5.c	16	19.2	4.4	y	
RO001.21.g	12	21.8	4.8	y	
US026.15.a	14	17.4	4.3	y	
RO005.15.f	17	19.5	2.9	y	
US018.5.a	14	19.3	4.8	y	
CA008.4.j	15	21.1	5.2	y	
TR004.14.j	9	16.9	2.8	y	
UA003.11A.i	8	22	4.1	y	
GR003.17.c	4	18.7	4	y	40.2
US002.22.h	17	17.5	3.9	y	
RO004.12.i	16	20.1	3.4	y	
US015.17.f	15	14.1	4.5	y	
US001.22.b	14	20.6	5.2	y	
UA005.7.i	13	18.3	4.6	y	
GR001.6.d	10	20	5.1	y	
RU001.7.g	16	14.4	6.6	y	
UA007.19.d	12	15.2	5.9	y	
UA006.24.b	11	20.4	4.1	y	
RU004.6.d	11	18.5	4.1	y	
RO003.11.c	12	13.3	2.9	y	
TR001.10.d	13	22.1	4.1	y	
US022.17.c	16	19.5	4.3	y	
TR003.24.e	11	12.8	2.6	y	
TR001.12.a	18			n	
CA001.4.j	16			n	
UA003.9A.f	16			n	
GR002.13.j	17			n	
RO003.11.f	18			n	
UA005.7.e	19			n	
TR004.8.i	13				
UA001.11.a	19			n	
US022.17.h	20			n	
BG001.29.g	24			n	
GR001.26.g	14			n	6.1
RO005.17.d	15			n	
GR003.3.a	3			n	44.9
US012.29.a	11			n	
UA006.10.d	16			n	
RU008.21.i	22			n	
RU003.4.d	17			n	
RU005.6.d	23			n	
US003.28.d	12			n	
RO004.21.e	19			n	
RU001.6.j	17			n	
HU001.24.a	18			n	
RO001.28.e	12			n	
US001.3.h	21			n	
RO002.15.g	8			n	
TR005.20.g	14			n	
UA004.7.e	21			n	
TR003.2.a	10			n	
US015.15.f	15			n	
RU002.2.e	18			n	
US002.17.h	12			n	
UA002.15.h	12			n	
TR004.18.b	12			n	
CA001.6.h	17			n	
UA005.18.b	27			n	
BG001.16.a	17			n	
RU001.2.j	23			n	
US018.11.a	26			n	
RU004.7.d	18			n	
US003.19.d	24			y	
RO001.21.e	19			y	
TR005.9.b	10			y	
RO005.17.k	13			y	
TR003.14.c	13			n	
GR003.17.b	13			y	
US002.5.j	18			n	
UA002.13.e	18			n	
US001.23.e	18			y	
US022.42.c	15			n	
CA008.4.f	14			n	
GR001.14.h	11			n	
UA004.7.g	27			y	
RU003.7.e	16			n	
TR001.19.i	9			y	15.5
RO003.15.j	18			y	
HU001.13.b	14			n	
UA003.8.g	12			n	
RU008.19.h	16			n	
US015.17.a	14			n	
US014.16.a	20			n	
RO004.3.j	9			n	3.7
GR002.8.e	11			n	13.5
RO002.18.a	15			n	
US020.24.e	15			n	
UA003.11A.a	13	23.5	5.3	y	
