PopID	Rack	Pos	Mom	Indiv	Origin	LfCount1	LfLgth1	LfWdth1	ID	LfLgth1.log	LfWdth1.log	LfCount1.sq	Latitude	Longitude
149	CA008	12	45	2	b	inv	13	13.6	3.9	CA008.2.b	2.61006979274201	1.3609765531356	3.60555127546399	49.0120833333333	-118.645711111111
150	GR001	23	15	14	d	nat	10	14.5	4.4	GR001.14.d	2.67414864942653	1.48160454092422	3.16227766016838	40.1566666666667	22.5480555555556
151	GR001	28	30	26	d	nat	8	14.4	1.8	GR001.26.d	2.66722820658195	0.587786664902119	2.82842712474619	40.1566666666667	22.5480555555556
152	GR001	43	10	28	c	nat	7	12.3	2.5	GR001.28.c	2.50959926237837	0.916290731874155	2.64575131106459	40.1566666666667	22.5480555555556
153	GR001	40	43	14	e	nat	11	16	5	GR001.14.e	2.77258872223978	1.6094379124341	3.3166247903554	40.1566666666667	22.5480555555556
154	GR001	45	43	28	d	nat	8	14.5	2.6	GR001.28.d	2.67414864942653	0.955511445027436	2.82842712474619	40.1566666666667	22.5480555555556
155	GR001	4	35	14	l	nat	10	15.9	3.6	GR001.14.l	2.76631910922619	1.28093384546206	3.16227766016838	40.1566666666667	22.5480555555556
156	GR001	44	29	26	h	nat	6	15.8	4.1	GR001.26.h	2.76000994003292	1.41098697371026	2.44948974278318	40.1566666666667	22.5480555555556
157	GR001	32	15	28	j	nat	9	14.3	3.7	GR001.28.j	2.66025953726586	1.30833281965018	3	40.1566666666667	22.5480555555556
158	GR001	26	21	28	f	nat	9	13.2	3.7	GR001.28.f	2.58021682959233	1.30833281965018	3	40.1566666666667	22.5480555555556
159	GR001	30	2	24	f	nat	7	10.2	2.9	GR001.24.f	2.32238772029023	1.06471073699243	2.64575131106459	40.1566666666667	22.5480555555556
160	GR001	41	27	14	h	nat	8	16	3.2	GR001.14.h	2.77258872223978	1.16315080980568	2.82842712474619	40.1566666666667	22.5480555555556
161	GR001	16	3	28	h	nat	9	16.6	3.5	GR001.28.h	2.8094026953625	1.25276296849537	3	40.1566666666667	22.5480555555556
162	GR001	14	35	26	f	nat	7	14.4	1.4	GR001.26.f	2.66722820658195	0.336472236621213	2.64575131106459	40.1566666666667	22.5480555555556
163	GR001	42	35	28	e	nat	8	13.4	3.2	GR001.28.e	2.59525470695687	1.16315080980568	2.82842712474619	40.1566666666667	22.5480555555556
164	GR001	21	4	6	a	nat	5	12.5	1.1	GR001.6.a	2.52572864430826	0.0953101798043249	2.23606797749979	40.1566666666667	22.5480555555556
165	GR001	34	20	28	g	nat	6	15	4.5	GR001.28.g	2.70805020110221	1.50407739677627	2.44948974278318	40.1566666666667	22.5480555555556
166	GR001	13	43	26	e	nat	10	13.8	3.6	GR001.26.e	2.62466859216316	1.28093384546206	3.16227766016838	40.1566666666667	22.5480555555556
167	GR001	5	17	24	b	nat	3	9.5	0.9	GR001.24.b	2.2512917986065	-0.105360515657826	1.73205080756888	40.1566666666667	22.5480555555556
168	GR001	15	19	24	a	nat	7	14.2	3.2	GR001.24.a	2.65324196460721	1.16315080980568	2.64575131106459	40.1566666666667	22.5480555555556
169	GR001	12	29	28	b	nat	5	14.4	1.5	GR001.28.b	2.66722820658195	0.405465108108164	2.23606797749979	40.1566666666667	22.5480555555556
170	GR001	47	32	28	i	nat	8	16.2	3.7	GR001.28.i	2.78501124223834	1.30833281965018	2.82842712474619	40.1566666666667	22.5480555555556
171	GR001	22	49	26	j	nat	7	13.8	4	GR001.26.j	2.62466859216316	1.38629436111989	2.64575131106459	40.1566666666667	22.5480555555556
172	GR001	1	14	14	a	nat	8	16.8	4.6	GR001.14.a	2.82137888640921	1.52605630349505	2.82842712474619	40.1566666666667	22.5480555555556
173	GR001	2	32	6	c	nat	9	15.1	5.3	GR001.6.c	2.71469474382088	1.66770682055808	3	40.1566666666667	22.5480555555556
174	GR001	31	34	24	g	nat	5	13.5	1.6	GR001.24.g	2.60268968544438	0.470003629245736	2.23606797749979	40.1566666666667	22.5480555555556
175	GR001	50	4	28	a	nat	8	13.2	3.3	GR001.28.a	2.58021682959233	1.19392246847243	2.82842712474619	40.1566666666667	22.5480555555556
176	GR001	36	35	6	d	nat	9	19	6	GR001.6.d	2.94443897916644	1.79175946922805	3	40.1566666666667	22.5480555555556
177	GR001	6	41	24	e	nat	9	14	2.6	GR001.24.e	2.63905732961526	0.955511445027436	3	40.1566666666667	22.5480555555556
178	GR001	10	10	6	b	nat	7	11.2	3.8	GR001.6.b	2.41591377830105	1.33500106673234	2.64575131106459	40.1566666666667	22.5480555555556
179	GR001	33	4	14	i	nat	9	12.3	2.9	GR001.14.i	2.50959926237837	1.06471073699243	3	40.1566666666667	22.5480555555556
180	GR001	37	8	14	j	nat	7	15.5	3	GR001.14.j	2.7408400239252	1.09861228866811	2.64575131106459	40.1566666666667	22.5480555555556
181	GR001	49	13	14	c	nat	7	14.5	2.9	GR001.14.c	2.67414864942653	1.06471073699243	2.64575131106459	40.1566666666667	22.5480555555556
182	GR001	27	32	6	f	nat	8	15	3.5	GR001.6.f	2.70805020110221	1.25276296849537	2.82842712474619	40.1566666666667	22.5480555555556
183	GR001	7	11	6	e	nat	7	13.4	2.9	GR001.6.e	2.59525470695687	1.06471073699243	2.64575131106459	40.1566666666667	22.5480555555556
184	GR001	17	46	14	f	nat	10	14.8	3	GR001.14.f	2.69462718077007	1.09861228866811	3.16227766016838	40.1566666666667	22.5480555555556
185	GR001	39	32	26	l	nat	9	13.5	1	GR001.26.l	2.60268968544438	0	3	40.1566666666667	22.5480555555556
