Rack	Pos	PopID	Mom	Indiv	Origin	Trt	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2
TR001.24.i	16	15	TR001	24	i	nat	cut	16	NA	NA	n	NA
UA004.18.b	16	16	UA004	18	b	nat	cut	19	NA	NA	y	NA
RU004.8.a	16	17	RU004	8	a	nat	cut	17	NA	NA	n	NA
CA001.3.j	16	18	CA001	3	j	inv	cut	20	NA	NA	y	NA
RU003.3.b	16	19	RU003	3	b	nat	cut	18	NA	NA	n	NA
US003.19.e	16	22	US003	19	e	inv	cut	17	NA	NA	n	NA
TR005.18.a	16	25	TR005	18	a	nat	cut	11	NA	NA	y	NA
UA006.22.b	16	28	UA006	22	b	nat	cut	14	NA	NA	y	NA
US021.8.d	16	30	US021	8	d	inv	cut	14	NA	NA	n	NA
US001.14.a	16	32	US001	14	a	inv	cut	20	NA	NA	y	NA
CA008.2.d	16	33	CA008	2	d	inv	cut	17	NA	NA	n	NA
RO003.9.f	16	34	RO003	9	f	nat	cut	18	NA	NA	n	NA
RU001.10.e	16	36	RU001	10	e	nat	cut	14	NA	NA	y	NA
US002.17.c	16	37	US002	17	c	inv	cut	26	NA	NA	y	NA
HU001.14.h	16	39	HU001	14	h	nat	cut	17	NA	NA	n	NA
US020.42.b	16	40	US020	42	b	inv	cut	15	NA	NA	n	NA
UA005.18.e	16	41	UA005	18	e	nat	cut	20	NA	NA	n	NA
RU008.18.c	16	43	RU008	18	c	nat	cut	17	NA	NA	n	NA
RO005.15.c	16	44	RO005	15	c	nat	cut	18	NA	NA	y	NA
